R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,all_params,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
stats,optim,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,-,"par = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, method = L-BFGS-B, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 1, factr = 0)",-17.8252461976708,"(-1, -0.969105882578811, 0.11003020978109, 0.168262313520711, 1, -0.649124043418341, 0.787102991544648, -1, -0.457650754076312, 1, 0.70083082826539, -1, 0.776362453577509, 1, 0.800291564063472, -1, 0.737888488195453, -1, -0.905205799341319, 0.879470617214344, 1, -0.364049192924707, -0.885637026620746, -1, 0.538182401293439, 0.0687009523576831, -0.393743138184206, -0.522005892895737, -0.827557610697348, 1)",5,5,1,NEW_X,0.00902581214904785,secs,0.01
GA,ga,Duarte,30,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,-,"type = real-valued, fitness = function (x) 
{
    return(-(Duarte(x)))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), maxiter = 2",-7.2200754863975,"(-0.828426986001432, -0.409075831994414, 0.874047517310828, 0.506606408860534, -0.584054790902883, 0.759667220991105, -0.357072144281119, -0.902355286758393, 0.235021525062621, 0.285624884068966, 0.797332417685539, -0.755902699194849, 0.733632806222886, 0.878054084721953, 0.0999648850411177, -0.151304136496037, -0.138340789824724, -0.5166708775796, 0.360790687147528, -0.0887556234374642, -0.969026174861938, -0.141271118074656, 0.823589731473476, 0.719535601790994, -0.3135802350007, 0.882794706150889, 0.663545245770365, -0.938476812560111, -0.389145615976304, -0.761975923553109)",2,-,-,-,0.00675392150878906,secs,0.01
DEoptim,DEoptim,Duarte,30,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,-,"fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(itermax = 1, reltol = 0)",-7.9874917075264,"(0.333153313957155, 0.802668438758701, 0.562153609003872, 0.721878006123006, -0.923160568810999, -0.913176818285137, -0.740270382259041, -0.933465119916946, 0.459038431756198, -0.708215493708849, -0.749741887673736, -0.912745617330074, -0.684416282922029, 0.656238407827914, -0.246484702453017, 0.769630156923085, 0.409009731374681, -0.246162037365139, 0.453232408501208, 0.391247939318419, -0.816868355032057, 0.505834477953613, -0.989085936918855, 0.474970402661711, 0.244480904657394, 0.307763809338212, -0.707135119941086, -0.92555401660502, -0.363554421346635, 0.882216829340905)",1,4,-,-,0.0195291042327881,secs,0.01
pso,psoptim,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,-,"par = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 7, reltol = 0)",-14.6053488424346,"(1, 1, 0.374584868713977, 0.336336232361336, 0.468364439868475, -0.982895920266384, 0.896696755929242, -0.99854699601717, -0.162407550277845, -1, 1, 1, -1, 1, 0.371963425064571, -0.691373722496168, 1, -1, -0.621442791893025, -0.715705525566969, 1, 1, -0.323446966756192, -0.489430067843098, 1, 1, 1, -1, -0.785177051515699, -1)",7,140,2,Maximal number of iterations reached,0.00823879241943359,secs,0.01
ABCoptim,abc_optim,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,-,"par = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lb = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), ub = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), criter = 2147483647, maxCycle = 4",-0.0242978415565327,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)",4,-,-,-,0.00867652893066406,secs,0.01
nloptr,sbplx,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,120,"x0 = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 120, xtol_rel = 0)",-17.8348593998443,"(-1, -1, 0.350425408687443, -0.0627980097196996, 1, -1, 1, -1, -1, 1, 1, -1, 1, 1, 0.93717321800068, -0.855884544085711, 0.829829984344542, -0.905970912892371, -1, 0.901011532638222, 1, -1, -0.756553887727932, -1, -0.000600673723965883, 1, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)",120,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00856447219848633,secs,0.01
nloptr,cobyla,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,70,"x0 = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 70, xtol_rel = 0)",-18.9569771305417,"(-0.999999999999998, -0.999999999999999, -0.659140320801674, -0.331903894429022, 1, -0.30634950104136, 1, -1, -0.137279603400444, 1, 1, -0.999999999999998, 0.999999999999998, 1, 1, -0.995469431427921, 0.468939329476818, -0.928789787330144, -0.999999999999999, 1, 0.967728349293284, 0.183579020664095, -0.744427469728608, -1, 0.659595177787488, 0.186632006561111, -0.0477775528904691, -0.320414107670872, -0.740005068268955, 0.940470991858604)",70,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00977325439453125,secs,0.01
nloptr,bobyqa,Duarte,30,"(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,100,"x0 = c(-0.64122493006289, -0.391640613321215, 0.178550408687443, -0.3674855097197, 0.432302399072796, -0.689066607970744, 0.172868803143501, -0.836642733775079, 0.298208898864686, 0.69470492657274, 0.399709461722523, -0.484466637950391, 0.084613133687526, 0.747546895872802, 0.43717321800068, -0.855884544085711, 0.329829984344542, -0.905970912892371, -0.278986248187721, 0.151011532638222, 0.53694293834269, -0.461321838665754, -0.520598425064236, -0.546815561130643, -0.000600673723965883, 0.0574635174125433, 
0.284390412271023, 0.05175008950755, -0.603369166143239, 0.734713733196259), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 100, xtol_rel = 0)",-18.4204450110724,"(-1, -1, 0.224835779466945, -0.0869565232492813, 1, -0.151383958260344, 0.73758530757265, -1, -0.224868653810435, 1, 1, -1, 1, 1, 1, -1, 1, -1, -0.242416734984107, 1, 1, -0.390967973723619, -1, -1, 0.249129667855762, 0.0384942788791393, 0.132570967560768, -0.0448451505711121, -1, 1)",100,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0253324508666992,secs,0.01
stats,optim,Duarte,30,"(0.559620960149914, 0.0880212364718318, -0.604559328407049, 0.619267526082695, -0.401173716410995, 0.0738142468035221, 0.529269812162966, 0.557681288570166, 0.858390661887825, -0.0822370052337646, -0.806256616022438, -0.644369268789887, 0.00681039970368147, 0.780809670686722, -0.33746707206592, 0.541137059684843, 0.322951992508024, -0.143176489043981, -0.153864338062704, -0.200440930202603, -0.880860121920705, 0.920731101185083, 0.914388309232891, 0.174470520578325, 0.126001379452646, -0.854255271144211, 0.598080988973379, -0.818553117103875, -0.132724966388196, 0.0860245632939041)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,-,"par = c(0.559620960149914, 0.0880212364718318, -0.604559328407049, 0.619267526082695, -0.401173716410995, 0.0738142468035221, 0.529269812162966, 0.557681288570166, 0.858390661887825, -0.0822370052337646, -0.806256616022438, -0.644369268789887, 0.00681039970368147, 0.780809670686722, -0.33746707206592, 0.541137059684843, 0.322951992508024, -0.143176489043981, -0.153864338062704, -0.200440930202603, -0.880860121920705, 0.920731101185083, 0.914388309232891, 0.174470520578325, 0.126001379452646, -0.854255271144211, 
0.598080988973379, -0.818553117103875, -0.132724966388196, 0.0860245632939041), fn = function (x) 
{
    th <- c(0.5, -0.2, 0.5, -0.2, -0.1, 0.2, -0.1, 0.2, -0.1, 0.2)
    X <- matrix(x, ncol = 3, byrow = TRUE)
    Fl <- cbind(1, X, X^2, X[, 1] * X[, 2], X[, 1] * X[, 3], X[, 2] * X[, 3])
    Fx <- (sqrt(exp(Fl %*% th)) %*% rep(1, 10)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, method = L-BFGS-B, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 1, factr = 0)",-15.564979212779,"(0.868975336214869, 0.16482053536885, -1, 1, -0.699943909390523, 0.300589335887958, -0.12501257656975, 1, 1, 0.0285618189979455, -1, -0.917258494322065, -0.524866603587417, 1, -0.446566133756641, 0.0851212868806237, 0.379697831165771, 0.153161936785635, -0.652193077674536, 0.224814553495519, -1, 1, 1, 0.113686895473277, -0.417896970652215, -1, 0.894333314640364, -1, 0.124651589444245, 0.398744544018364)",4,4,1,NEW_X,0.0135068893432617,secs,0.01
GA,ga,Duarte,30,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,-,"type = real-valued, fitness = function (x) 
{
    return(-(Duarte(x)))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), maxiter = 2",-5.19359277246428,"(-0.548869330435991, -0.628390944562852, -0.402830467093736, -0.561027155723423, 0.812188141047955, -0.621673053130507, 0.24435014044866, 0.438070874195546, -0.0803191065788269, -0.176570987794548, 0.813098001759499, 0.753638482186943, 0.181653582956642, 0.125564599875361, -0.976300571113825, 0.768046031240374, -0.860836154315621, -0.946942575741559, -0.844015569891781, 0.561436932068318, -0.544129147659987, 0.0102562149986625, -0.213497126009315, 0.00744565576314926, -0.557077642064542, -0.383002476766706, 0.88010944891721, 0.890568333212286, 0.657358970493078, -0.0812921277247369)",2,-,-,-,0.0117037296295166,secs,0.01
