R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,all_params,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
stats,optim,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",19,-,"par = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 19, factr = 0)",17.2354326512718,"(-0.959508584412792, 0.933374095117078, 0.875669543843679, 0.75935176261564, 0.578415756693773, 0.330876512975553, 0.118256788672649, 0.0132835022244756, 0.00769049253016097, 0.0107417043221285, -0.000157435165856794, 0.0163548768792428, 0.00624061372528557, 0.00711091460337153, 0.0099252294732122, 0.0135757820611313, 0.0107221692620049, 0.0118075561434937, 0.01177491335384, 0.000213015383419367)",23,23,1,NEW_X,0.00943779945373535,secs,0.01
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 5",3684.85899418373,"(-0.258105920976127, 0.720851774311795, -0.657741942203432, 0.797889042412021, 1.89032091931417, -0.306014318154769, -1.21186511841031, -1.0861469029013, -0.625346935280621, -0.9724820458366, 0.299423858349946, -0.379336814173601, 0.563760316980579, 0.891389613308445, -0.392350880532097, 0.436402956308837, 0.0472672101191629, 0.287249425955772, 0.242719481154287, 1.42887673452258)",5,-,-,-,0.00985312461853027,secs,0.01
DEoptim,DEoptim,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",3,-,"fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(itermax = 3, reltol = 0)",74816.7807581367,"(1.03400115156546, -2.87567348452285, 2.73257583612576, 0.532258823513985, 0.393826793879271, -0.0279897917062044, 1.06803598348051, 1.12786238780245, 0.266990691889077, -0.699274155311286, -2.83087058458477, 1.04818378807977, 2.74254459887743, 4.00067324051633, 2.04139684094116, 1.16131547186524, -3.46617145463824, 1.76941577810794, 4.38761445693672, 3.69963693665341)",3,8,-,-,0.0100951194763184,secs,0.01
pso,psoptim,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",16,-,"par = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 16, reltol = 0)",3772.76005721541,"(-1.23852419628762, 1.31485846321708, 1.46933864308592, 1.04436258555771, 1.56648748951135, 1.14158825534067, -1.49045981753031, 1.27253652196911, -0.32373315450426, -0.504516882758807, -1.58608883479461, 0.561278155961407, -0.674885696912002, -0.24956758211568, -0.859927606370486, 1.08039367158785, 0.138055555117963, 1.06916751796201, 0.570311377769515, -2.69334845074131)",16,288,2,Maximal number of iterations reached,0.00940895080566406,secs,0.01
ABCoptim,abc_optim,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",8,-,"par = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lb = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), ub = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), criter = 2147483647, maxCycle = 8",51.6178959979388,"(0.827070918963535, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.789473684210526, 0.845782313201772, 0.789473684210526, 0.789473684210526)",8,-,-,-,0.0124123096466064,secs,0.01
nloptr,sbplx,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,700,"x0 = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 700, xtol_rel = 0)",743.142366512312,"(1.21378237030822, 1.44065651882013, 1.81199823761736, 1.3811288651848, 1.08166795491173, 0.707983622438458, 0.13372167232942, -1.14707743350489, 1.20150274388202, 1.15890263340351, 1.19989883842019, 1.21259328862395, 1.37827748120183, 1.21506388892805, 1.21466455193302, 0.827649594600678, 0.323711640954274, 0.0924420911441292, -0.0137365035452352, 0.00145896567227677)",700,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00901556015014648,secs,0.01
nloptr,cobyla,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,250,"x0 = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 250, xtol_rel = 0)",82231.6656396507,"(1.28971582766164, 2.21279361141106, 4.70876789365379, 2.55546348954, 1.32327028118411, 0.348796697368656, 0.0783491634612232, -2.11972030683918, 1.14844026811923, 1.08927730503348, 0.0579701768886665, 1.0897849234724, 2.54999584692177, 4.54316681903544, 2.13923683198817, 0.940630753493682, -0.317635983392262, -1.0281368816384, 0.513990038095951, -4.74722977166699)",250,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00908279418945312,secs,0.01
nloptr,bobyqa,Rosenbrock,20,"(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,250,"x0 = c(2.59017554810271, 1.20327749988064, 4.91890688193962, -0.489615353289992, 3.39590632589534, 1.71260729432106, 0.103366747498512, -4.44434156175703, 1.26730527495965, 0.138474470004439, 1.76448166836053, 2.69312373595312, -1.92657651146874, 4.89799372851849, 3.57908507110551, -3.38424998568371, -0.78830347629264, -3.65898250835016, 2.01707485830411, -4.89794245688245), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 250, xtol_rel = 0)",48430.824320187,"(1.89547882223901, 2.02573806967204, 4.31262805438406, 2.56993577520859, 1.72854095465103, 1.54366539629015, -0.215731497599002, -1.0928102058714, -0.25167111215632, -0.844573325403522, 0.766955316266681, -1.79874433681446, 2.49692123381851, 3.71013037003173, 2.10555038247669, 1.53221238750619, 1.72230268308664, 0.94724835946835, 0.418534650887676, -4.91536100216955)",250,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00971770286560059,secs,0.01
stats,optim,Rosenbrock,20,"(0.673542607109994, 1.52547581586987, 3.81185102742165, -4.03100970899686, -0.355617010500282, -0.73429198237136, 1.95698292227462, -0.654380023479462, -0.403388706035912, -3.92231892095879, 4.50788140296936, -1.49298061849549, -1.5476710582152, -4.51906442176551, 4.22889782814309, -1.84603799600154, -2.21516807563603, -0.942438915371895, 4.7485962160863, -3.53143502492458)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",19,-,"par = c(0.673542607109994, 1.52547581586987, 3.81185102742165, -4.03100970899686, -0.355617010500282, -0.73429198237136, 1.95698292227462, -0.654380023479462, -0.403388706035912, -3.92231892095879, 4.50788140296936, -1.49298061849549, -1.5476710582152, -4.51906442176551, 4.22889782814309, -1.84603799600154, -2.21516807563603, -0.942438915371895, 4.7485962160863, -3.53143502492458), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 19, factr = 0)",15.0701352609052,"(0.902035990722902, 0.812916063383206, 0.671270351500454, 0.450719980141355, 0.177089783563871, 0.0201464341304114, 0.00688300508153681, 0.0144544800760806, 0.00832326471175205, 0.00962364147167791, 0.00770651482459438, 0.0115405005679102, 0.0131166987737298, 0.011035887863688, 0.00894189703881359, 0.0180018113212956, 0.0168358816373725, 0.0119603615724058, 0.00447607830387069, 0.00104009412368269)",24,24,1,NEW_X,0.0105619430541992,secs,0.01
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",5,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 5",3030.17636551428,"(-0.00814237159033726, 0.8425075460965, 0.834611786868869, -0.129474334781893, -1.85305997116748, 0.739977159823355, 0.25629062442817, 0.4740125782328, -0.960600584635172, -0.301518696540507, 1.43128704676137, -0.114961484692554, -0.0534879693683337, 0.842369358832477, 1.18268013409471, -0.800207269335112, 0.335751342654745, 1.25810872142474, 0.602868297399748, -0.0114815339564346)",5,-,-,-,0.0117950439453125,secs,0.01
