R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
stats,optim,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",7,-,4.09536081959552,"(-1.02145308783485, 1.05050620766034, 1.10735761193934)",13,13,1,NEW_X,0.00107169151306152,secs,0.001
GA,ga,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,1.78180689808492,"(1.41810480505228, 1.92437584977597, 3.69900076882914)",1,-,-,-,0.00272750854492188,secs,0.001
DEoptim,DEoptim,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,53.2924093806478,"(0.299187608528882, -0.555361966602504, 0.605002692434937)",1,4,-,-,0.0011138916015625,secs,0.001
pso,psoptim,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",2,-,54.5460163274801,"(0.900066655827272, 0.121499997733665, -0.237121031522379)",2,26,2,Maximal number of iterations reached,0.000921249389648438,secs,0.001
ABCoptim,abc_optim,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",1,-,5.61346214347652,"(0.789473684210526, 0.789473684210526, 0.789473684210526)",1,-,-,-,0.000618457794189453,secs,0.001
nloptr,sbplx,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",-,1,16642.6818132064,"(3.32807922968641, 3.69198368163779, 3.0583828757517)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00204658508300781,secs,0.001
nloptr,cobyla,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",-,1,16642.6818132064,"(3.32807922968641, 3.69198368163779, 3.0583828757517)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00220847129821777,secs,0.001
nloptr,bobyqa,Rosenbrock,3,"(3.32807922968641, 3.69198368163779, 3.0583828757517)","(-5, -5, -5)","(5, 5, 5)",-,1,16642.6818132064,"(3.32807922968641, 3.69198368163779, 3.0583828757517)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00221920013427734,secs,0.001
stats,optim,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",7,-,7.71435510752732,"(-1.49022410501637, 2.22777451441358, 4.96580677348701)",10,10,1,NEW_X,0.000849485397338867,secs,0.001
GA,ga,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,45.1059913929949,"(-0.439332148525864, -0.440431521274149, 0.285320419352502)",1,-,-,-,0.00289273262023926,secs,0.001
DEoptim,DEoptim,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,1128.02640189046,"(0.587326599750668, -1.15136640379205, -1.67323967767879)",1,4,-,-,0.00110197067260742,secs,0.001
pso,psoptim,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",2,-,16.8184974704815,"(-0.0308731707719215, 0.0272928043894471, -0.383185577818757)",2,26,2,Maximal number of iterations reached,0.000877618789672852,secs,0.001
ABCoptim,abc_optim,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",1,-,5.61346214347652,"(0.789473684210526, 0.789473684210526, 0.789473684210526)",1,-,-,-,0.000573158264160156,secs,0.001
nloptr,sbplx,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",-,1,137011.226683645,"(4.32748819002882, -4.97753137722611, -3.64480991382152)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00217866897583008,secs,0.001
nloptr,cobyla,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",-,1,137011.226683645,"(4.32748819002882, -4.97753137722611, -3.64480991382152)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00233960151672363,secs,0.001
nloptr,bobyqa,Rosenbrock,3,"(4.32748819002882, -4.97753137722611, -3.64480991382152)","(-5, -5, -5)","(5, 5, 5)",-,1,137011.226683645,"(4.32748819002882, -4.97753137722611, -3.64480991382152)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00214195251464844,secs,0.001
stats,optim,Rosenbrock,3,"(-3.75987561885267, -1.33679582970217, 0.211906367912889)","(-5, -5, -5)","(5, 5, 5)",7,-,1.72497957302937,"(0.289264309920597, 0.0378157410342769, 0.0303677686897565)",13,13,1,NEW_X,0.0012660026550293,secs,0.001
GA,ga,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,410.865770410453,"(2.00473886914551, 2.02232096344233, 3.77123499521986)",1,-,-,-,0.00329852104187012,secs,0.001
DEoptim,DEoptim,Rosenbrock,3,-,"(-5, -5, -5)","(5, 5, 5)",1,-,45.8387501394416,"(1.42252583894879, 1.97976888157427, 4.58663050318137)",1,4,-,-,0.00114893913269043,secs,0.001
pso,psoptim,Rosenbrock,3,"(-3.75987561885267, -1.33679582970217, 0.211906367912889)","(-5, -5, -5)","(5, 5, 5)",2,-,420.418524553316,"(-1.25936266646761, 0.581043116425733, 2.11002636691361)",2,26,2,Maximal number of iterations reached,0.000899553298950195,secs,0.001
ABCoptim,abc_optim,Rosenbrock,3,"(-3.75987561885267, -1.33679582970217, 0.211906367912889)","(-5, -5, -5)","(5, 5, 5)",1,-,5.61346214347652,"(0.789473684210526, 0.789473684210526, 0.789473684210526)",1,-,-,-,0.000536203384399414,secs,0.001
nloptr,sbplx,Rosenbrock,3,"(-3.75987561885267, -1.33679582970217, 0.211906367912889)","(-5, -5, -5)","(5, 5, 5)",-,1,24219.0142808149,"(-3.75987561885267, -1.33679582970217, 0.211906367912889)",1,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00201010704040527,secs,0.001
